dataset,split_mode,model,bucket,n_events_mean,n_events_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std,n_events
assist2012,temporal,bkt,dense,411293.0,0.0,0.6883827344496503,0.0,0.6885808900224414,0.0,0.21386873717128144,0.0,0.4747121618039971,0.0,8.952837072534977e-09,0.0,411293.0
assist2012,temporal,bkt,medium,3519.0,0.0,0.6339869281045751,0.0,0.6341290139244103,0.0,0.23197127177347085,0.0,0.40231241941695545,0.0,0.00015467726601603538,0.0,3519.0
assist2012,temporal,bkt,sparse,2184.0,0.0,0.6211080586080586,0.0,0.6212225274725275,0.0,0.23516600920447073,0.0,0.3860592878388614,0.0,2.76957080469936e-06,0.0,2184.0
assist2012,temporal,bkt,strict_cold_start,1128.0,0.0,0.5124113475177305,0.0,0.5124113475177305,0.0,0.24984595845279411,0.0,0.2625653890649364,0.0,0.0,0.0,1128.0
assist2012,temporal,bkt,very_sparse,600.0,0.0,0.7083333333333334,0.0,0.7083333333333334,0.0,0.2065972222222222,0.0,0.5017361111111112,0.0,0.0,0.0,600.0
assist2012,temporal,dkt,dense,521661.0,0.0,0.08357628495537757,0.0018727809721614842,0.20916243191253453,0.0005945472125304174,0.2138490566307713,0.0,0.010806169649701729,0.0004222808015421782,0.015408210751890491,0.0001993739629876025,521661.0
assist2012,temporal,dkt,medium,4558.0,0.0,0.2758686626878508,0.015135401625082838,0.33391108685186677,0.01030538978271862,0.23474303506788136,0.0,0.10347613119762764,0.009921863099208846,0.004330483300819489,0.000911246574907783,4558.0
assist2012,temporal,dkt,sparse,3030.0,0.0,0.30051096128273297,0.021432899648520326,0.33656979701718626,0.012467218631264987,0.23402237253428315,0.0,0.11372898348948235,0.011725972540125024,0.010586904044943179,0.001848091029793725,3030.0
assist2012,temporal,dkt,strict_cold_start,1407.0,0.0,0.06320355795085558,0.019796584557155193,0.25358483981655067,0.0030806136925078907,0.2499847195134087,0.0,0.007131676958045249,0.003340678629206759,0.0036908161101337268,0.002114390094902528,1407.0
assist2012,temporal,dkt,very_sparse,843.0,0.0,0.3823523178823216,0.03575352697582794,0.4048987614776876,0.031163360996837215,0.20415423085095458,0.0,0.22109736375800196,0.031187942832224924,0.019378799010208593,0.0027684126046872604,843.0
assist2012,temporal,irt,dense,521661.0,0.0,0.02036048970786524,0.0008013407514737103,0.20743280421105034,6.662325289766245e-05,0.2138490566307713,0.0,0.0007083075998020943,5.486130789787713e-05,0.0070082974234960665,6.16909082721095e-05,521661.0
assist2012,temporal,irt,medium,4558.0,0.0,0.0855574493419729,0.0004426942158300695,0.24252284110344252,0.00029852252380953753,0.23474303506788136,0.0,0.010083308330919066,0.00033475919173405275,0.002782349198328382,0.0001646616189690779,4558.0
assist2012,temporal,irt,sparse,3030.0,0.0,0.13921442614733495,0.0016492541044009336,0.24211078161861094,0.00021751564075702453,0.23402237253428315,0.0,0.026659510466826065,0.0004533963967769463,0.018333713525997032,0.0003602362034218716,3030.0
assist2012,temporal,irt,strict_cold_start,1407.0,0.0,0.1986694553570768,0.0,0.28945427200528634,0.0,0.2499847195134087,0.0,0.03946955249187754,0.0,0.0,0.0,1407.0
assist2012,temporal,irt,very_sparse,843.0,0.0,0.24973008417972395,0.0005530892887243901,0.23781078827928476,0.0001894638340867391,0.20415423085095458,0.0,0.06765961984941428,0.00025354818095030143,0.03334555728085124,0.0001745738329002056,843.0
assist2012,temporal,simplekt,dense,521661.0,0.0,0.14516511306464203,0.0013461718376120537,0.2257269677379031,0.0004868477479456468,0.2138490566307713,0.0,0.029572650133489992,0.0005572033347807968,0.0175223770265807,0.00012538403845215176,521661.0
assist2012,temporal,simplekt,medium,4558.0,0.0,0.23168360783014985,0.013132267434928527,0.2940723758216291,0.01004736751750629,0.23474303506788136,0.0,0.06838709854983893,0.008309446193271305,0.009075799155200341,0.001937868298299001,4558.0
assist2012,temporal,simplekt,sparse,3030.0,0.0,0.2950276530026657,0.041180509661330675,0.32822814869715633,0.03256442601583997,0.23402237253428315,0.0,0.10803461704446178,0.028381890888335204,0.013495728251259368,0.005202502272203286,3030.0
assist2012,temporal,simplekt,strict_cold_start,1407.0,0.0,0.1200712196301211,0.06813477794631279,0.2682920961642357,0.03097181192378375,0.2499847195134087,0.0,0.029362926472081212,0.028875149061901688,0.011087081257826955,0.004055021828616005,1407.0
assist2012,temporal,simplekt,very_sparse,843.0,0.0,0.3879722065709168,0.04436038325790216,0.4195059610505124,0.03389283781425359,0.20415423085095458,0.0,0.23499979230176363,0.0351831196587652,0.018886550320457038,0.0036901923601426715,843.0
junyi,temporal,bkt,dense,2705777.0,0.0,0.706783301062874,0.0,0.7068054758392875,0.0,0.20705215307963137,0.0,0.49975363170828435,0.0,3.089486281247293e-07,0.0,2705777.0
junyi,temporal,bkt,medium,133727.0,0.0,0.5445684117642661,0.0,0.5446001929303731,0.0,0.2479912642188895,0.0,0.29661900054895374,0.0,1.0071837470171384e-05,0.0,133727.0
junyi,temporal,bkt,sparse,14196.0,0.0,0.6397576782192167,0.0,0.6399337841645534,0.0,0.23032972014944186,0.0,0.40960873972654893,0.0,4.675711437319612e-06,0.0,14196.0
junyi,temporal,bkt,strict_cold_start,2214.0,0.0,0.5203252032520326,0.0,0.5203252032520326,0.0,0.24958688611276356,0.0,0.270738317139269,0.0,0.0,0.0,2214.0
junyi,temporal,dkt,dense,3072767.0,0.0,0.06361541734718593,0.0028070066304287287,0.19086230158502718,0.0009528889126039094,0.20704048484671117,0.0,0.006859857152939877,0.0005874286519326543,0.022960793014752675,0.00038762335693635225,3072767.0
junyi,temporal,dkt,medium,151597.0,0.0,0.2953475620448687,0.0034052408697122162,0.34624595035047395,0.0018747138766911386,0.24793404784229917,0.0,0.10172283662167618,0.0017981755162631804,0.0033360272087807966,0.0006041420138780493,151597.0
junyi,temporal,dkt,sparse,16206.0,0.0,0.3055019109458974,0.009097592971665663,0.3353300482222979,0.007237957422281817,0.2305524360103334,0.0,0.10772894914055953,0.005786591077676128,0.0030549527397825513,0.001456361754058647,16206.0
junyi,temporal,dkt,strict_cold_start,2545.0,0.0,0.04600226613299552,0.02659246556687492,0.2501743696684298,0.003761054217130151,0.24978288643320043,0.0,0.004856279852830276,0.0023316437813122068,0.005162764864615592,0.0023717409840159215,2545.0
junyi,temporal,irt,dense,3072767.0,0.0,0.023507740550760593,0.00014633525763510478,0.19261803070595693,3.510809986746643e-06,0.20704048484671117,0.0,0.0007754806699346091,1.2621212752246464e-05,0.01505277772277234,1.003814680462594e-05,3072767.0
junyi,temporal,irt,medium,151597.0,0.0,0.06307612960722617,0.0006680536219608195,0.2328481599807108,6.626805624166059e-05,0.24793404784229917,0.0,0.0051199056552842905,7.138151925331355e-05,0.020197503538489835,5.81209334318797e-05,151597.0
junyi,temporal,irt,sparse,16206.0,0.0,0.039305580898162634,0.0006667776000395933,0.21892316458136435,3.8195649936234e-05,0.2305524360103334,0.0,0.00203576788728681,9.298510801283208e-05,0.01360485093268815,0.00012217064912485665,16206.0
junyi,temporal,irt,strict_cold_start,2545.0,0.0,0.19339223187143073,0.0,0.28718344178141364,0.0,0.24978288643320043,0.0,0.03740055534821323,0.0,0.0,0.0,2545.0
junyi,temporal,simplekt,dense,3072767.0,0.0,0.0991594524745093,0.006296858114056378,0.19522269766806738,0.002733637456217366,0.20704048484671117,0.0,0.013572294777243607,0.002073932364864586,0.02527924470641877,0.0006239655605510683,3072767.0
junyi,temporal,simplekt,medium,151597.0,0.0,0.155256123969223,0.0020923955073445084,0.26239539002925627,0.0009702943150024525,0.24793404784229917,0.0,0.030313894763958477,0.0006814527345681182,0.015778841005653466,0.0009076562907159151,151597.0
junyi,temporal,simplekt,sparse,16206.0,0.0,0.19782184346415355,0.028146612803254145,0.27161947942978154,0.019723896467933412,0.2305524360103334,0.0,0.05032879331268669,0.01474004005425234,0.00942757835178824,0.005059908416327416,16206.0
junyi,temporal,simplekt,strict_cold_start,2545.0,0.0,0.04299371852387616,0.029239106929870026,0.25139968149350855,0.0026876113995569755,0.24978288643320043,0.0,0.008471968068811135,0.005002792408317128,0.006847693478028276,0.003760850076462074,2545.0
xes3g5m,temporal,bkt,dense,758566.0,0.0,0.6892900551830692,0.0,0.6763597366610157,0.0,0.15661973426150425,0.0,0.5197400024464043,0.0,4.689290141755934e-11,0.0,758566.0
xes3g5m,temporal,bkt,medium,81581.0,0.0,0.672613721332173,0.0,0.6631905713340116,0.0,0.16875463184863007,0.0,0.4944496454593213,0.0,1.3705973939658024e-05,0.0,81581.0
xes3g5m,temporal,bkt,sparse,6410.0,0.0,0.753588143525741,0.0,0.7314742589703588,0.0,0.12225788001878887,0.0,0.6092165966424206,0.0,2.1769085068807266e-07,0.0,6410.0
xes3g5m,temporal,bkt,strict_cold_start,148403.0,0.0,0.6763508823945608,0.0,0.6695636206815226,0.0,0.16755424792529386,0.0,0.5020214001802482,0.0,1.2027424019486198e-05,0.0,148403.0
xes3g5m,temporal,bkt,very_sparse,16610.0,0.0,0.7031005418422637,0.0,0.6802077062010837,0.0,0.1408336121258999,0.0,0.539404995618602,0.0,3.090154341824137e-05,0.0,16610.0
xes3g5m,temporal,dkt,dense,1191744.0,0.0,0.13366615871300042,0.005020816025772835,0.1801955992580561,0.00427594022410738,0.15633763540880563,0.0,0.033386162455872115,0.0034685203147179016,0.009476012440814963,0.0008296245149415879,1191744.0
xes3g5m,temporal,dkt,medium,129494.0,0.0,0.28804920177713916,0.044703673167810466,0.29472140396178437,0.0398229793770699,0.1691434038109366,0.0,0.13221205997607363,0.0364451092172662,0.00606173355360431,0.00366443722660197,129494.0
xes3g5m,temporal,dkt,sparse,10079.0,0.0,0.15185660232257742,0.03295760521824169,0.1585058093723602,0.0233275819642357,0.12018131471170387,0.0,0.0422842435042511,0.020949309555699572,0.0038675456911768337,0.003116031377351973,10079.0
xes3g5m,temporal,dkt,strict_cold_start,233214.0,0.0,0.28989627949755914,0.006466611359105507,0.2568226360278687,0.0038231662644200625,0.16734381163865514,0.0,0.0896948659752195,0.00362502426121948,0.000547253239061134,0.0002282542480399201,233214.0
xes3g5m,temporal,dkt,very_sparse,26212.0,0.0,0.10119007358174023,0.04433030298394109,0.1470010796403029,0.024128525453770543,0.1404433439215381,0.0,0.019572157615209862,0.015930184918661428,0.012656643724509836,0.009677660596949253,26212.0
xes3g5m,temporal,irt,dense,1191744.0,0.0,0.052710512638912264,0.002005962224210876,0.15139351274490684,0.00031954823009159406,0.15633763540880563,0.0,0.004361677669353703,0.00026014563139204204,0.009169674640894545,0.00013955610306616489,1191744.0
xes3g5m,temporal,irt,medium,129494.0,0.0,0.17441235713527864,0.0013279118527882818,0.22698992574719784,0.0010014075465516223,0.1691434038109366,0.0,0.060317563093306645,0.0010046390935587173,0.0026460258633231822,1.0350672140869562e-05,129494.0
xes3g5m,temporal,irt,sparse,10079.0,0.0,0.18215082982303224,0.0004253161663318947,0.14890454843791162,0.0001471728969332287,0.12018131471170387,0.0,0.03677465149334599,0.00017727302305434986,0.007951397996544693,3.2837067601064155e-05,10079.0
xes3g5m,temporal,irt,strict_cold_start,233214.0,0.0,0.21929433340403567,0.0,0.21543381630177535,0.0,0.16734381163865514,0.0,0.04809000466312037,0.0,0.0,0.0,233214.0
xes3g5m,temporal,irt,very_sparse,26212.0,0.0,0.31906135618518994,0.0002604278523476145,0.23811348331861787,0.00015955795543780873,0.1404433439215381,0.0,0.10613406360900228,0.0001454795794568226,0.008503845924580856,3.5164307034957426e-05,26212.0
xes3g5m,temporal,simplekt,dense,1191744.0,0.0,0.17574336948747246,0.0023139865726678733,0.20222720355280313,0.001636530697967168,0.15633763540880563,0.0,0.05477025849948288,0.0011426686274350114,0.008523354470603949,0.0006142268376964268,1191744.0
xes3g5m,temporal,simplekt,medium,129494.0,0.0,0.28531650160901806,0.028270468056204336,0.29323867049183827,0.025230950780470704,0.1691434038109366,0.0,0.12972329075178635,0.023331527587190336,0.005296901005355117,0.0020394151164957247,129494.0
xes3g5m,temporal,simplekt,sparse,10079.0,0.0,0.15659641900545124,0.012678436041511684,0.16398369934911855,0.012386087070186796,0.12018131471170387,0.0,0.051788743324503304,0.01239410975334246,0.007571257579668448,0.0016617527444384376,10079.0
xes3g5m,temporal,simplekt,strict_cold_start,233214.0,0.0,0.28158539537017035,0.016447614515763914,0.25781627995686235,0.020676653618568838,0.16734381163865514,0.0,0.09125358192974573,0.019838069560892416,0.0010590645455578985,0.000994657254319174,233214.0
xes3g5m,temporal,simplekt,very_sparse,26212.0,0.0,0.10013923148269979,0.01967918536516005,0.13876706520237445,0.009220066424547755,0.1404433439215381,0.0,0.012213191927023238,0.003310991982757721,0.013050331470521967,0.006101064249440587,26212.0
